DHT11	ECG	AirFlow	Snore	SpO2	PulseRate
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-2.67	4.18	4.01	-2.40	1.68	1.56
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-4.88	3.23	-0.91	-2.32	3.56	-4.64
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-2.80	3.95	-3.57	-2.25	4.99	1.05
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-4.38	2.13	4.95	4.55	1.47	0.96
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-2.68	3.66	4.51	-2.53	-1.03	-2.99
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
-1.97	-4.38	0.00	-0.22	-0.74	1.66
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.94	-4.73	3.14	2.70	-2.40	3.97
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
3.96	3.14	2.26	-2.45	2.07	-1.27
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
-1.26	2.05	-1.40	0.99	2.01	-1.64
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
0.50	1.27	2.53	1.17	3.63	3.96
